Subject,MLP,SVM(Linear),LDA,RandomForest,Ensemble(RF+SVM+LDA)
S01,0.6803,0.6543,0.6493,0.6828,0.6456
S02,0.9877,0.9877,0.8568,0.9679,0.9778
S03,0.8424,0.8077,0.8102,0.8648,0.8213
S04,0.9333,0.9431,0.9011,0.9394,0.9295
S05,0.9778,0.9420,0.9000,0.9568,0.9556
S06,0.6877,0.7200,0.6865,0.7001,0.6976
S07,0.9888,0.9115,0.8292,0.9776,0.9102
S08,0.9055,0.9092,0.8781,0.8968,0.9104
S09,0.6679,0.6679,0.6679,0.6679,0.6679
S10,0.9630,0.9667,0.9012,0.9753,0.9790
S11,0.9762,0.9900,0.9887,0.9774,0.9900
S12,0.9789,0.9988,0.9988,0.9876,1.0000
S15,0.9777,0.9554,0.9888,0.9455,0.9554
S16,0.9243,0.8672,0.8908,0.9206,0.8821
S17,0.8086,0.8778,0.7889,0.6667,0.7531
S18,0.7655,0.8102,0.8859,0.7581,0.8362

Mean,0.8791,0.8756,0.8514,0.8678,0.8695
Std,0.1160,0.1096,0.1055,0.1218,0.1158
